Metabolite Name,increased or decreased,Organ,Sex,Age,Species,InChIKey,Keggs,Lipid Maps,Pubchem CID,Standardized Name,Formula,Exact mass,Subclass,HMDB,DOI,Title
Methylmercury chloride,increased,feces,,,Bats,BABMCXWQNSQAOC-UHFFFAOYSA-M,C11146,No result,409301,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154,Comparative metabolomics of aging in a long-lived bat: Insights into the physiology of extreme longevity
Caldine,increased,feces,,,Bats,OTBHHUPVCYLGQO-UHFFFAOYSA-N,C03375,No result,5942,Norspermidine,C6H17N3,131.1422,Dialkylamines,HMDB0011634,https://doi.org/10.1371/journal.pone.0196154,Comparative metabolomics of aging in a long-lived bat: Insights into the physiology of extreme longevity
Gaboxadol,increased,feces,,,Bats,ZXRVKCBLGJOCEE-UHFFFAOYSA-N,C13693,No result,28360827,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154,Comparative metabolomics of aging in a long-lived bat: Insights into the physiology of extreme longevity
2-Propylglutaric acid,increased,feces,,,Bats,IFNXFIJXYVEYLF-UHFFFAOYSA-N,C16658,No result,134970,2-Propylglutaric acid,C8H14O4,174.0892,Dicarboxylic acids,HMDB0060684,https://doi.org/10.1371/journal.pone.0196154,Comparative metabolomics of aging in a long-lived bat: Insights into the physiology of extreme longevity
Istamycin X0,increased,feces,,,Bats,LVWCJJGPEHPHJN-OFIDPPGASA-N,C17986,No result,13019103,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154,Comparative metabolomics of aging in a long-lived bat: Insights into the physiology of extreme longevity
Bithionol,increased,feces,,,Bats,JFIOVJDNOJYLKP-UHFFFAOYSA-N,C07967,No result,2406,Bithionol,C12H6Cl4O2S,353.8843,Aryl thioethers,No result,https://doi.org/10.1371/journal.pone.0196154,Comparative metabolomics of aging in a long-lived bat: Insights into the physiology of extreme longevity
Zinnimidine,increased,feces,,,Bats,DSOITGJEUKHAJN-UHFFFAOYSA-N,C10626,No result,442878,Zinnimidine,C15H19NO3,261.1365,Isoindolones,No result,https://doi.org/10.1371/journal.pone.0196154,Comparative metabolomics of aging in a long-lived bat: Insights into the physiology of extreme longevity
Dimethyl phosphate,increased,feces,,,Bats,KKUKTXOBAWVSHC-UHFFFAOYSA-N,No result,No result,13134,Dimethylphosphate,C2H7O4P,126.0082,Dialkyl phosphates,HMDB0061734,https://doi.org/10.1371/journal.pone.0196154,Comparative metabolomics of aging in a long-lived bat: Insights into the physiology of extreme longevity
Procymidone,increased,feces,,,Bats,QXJKBPAVAHBARF-UHFFFAOYSA-N,C10986,No result,36242,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154,Comparative metabolomics of aging in a long-lived bat: Insights into the physiology of extreme longevity
"1-amino-3,3-diethoxypropane",increased,feces,,,Bats,PXXMSHBZYAOHBD-UHFFFAOYSA-N,No result,No result,521029,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154,Comparative metabolomics of aging in a long-lived bat: Insights into the physiology of extreme longevity
α-Thiophenecarboxylic acid,increased,feces,,,Bats,QERYCTSHXKAMIS-UHFFFAOYSA-N,D08568,No result,10700,-,,,,No result,https://doi.org/10.1371/journal.pone.0196154,Comparative metabolomics of aging in a long-lived bat: Insights into the physiology of extreme longevity
α-ketoacids,increased,whole organism,,,C. elegans,RBJNNOANVBIZFR-ROHOOUGSSA-N,No result,No result,24901429,-,-,-,-,No result,https://doi.org/10.1111/acel.12439,Mitochondrial metabolites extend lifespan
α-ketoglutarate,increased,whole organism,,,C. elegans,KPGXRSRHYNQIFN-UHFFFAOYSA-L,No result,No result,164533,Oxoglutaric acid,C5H6O5,146.0215,TCA acids,No result,https://doi.org/10.1111/acel.12439,Mitochondrial metabolites extend lifespan
"α-ketoglutarate mimetic, 2,4- pyridinedicarboxylic acid (2,4-PDA)",increased,whole organism,,,C. elegans,MUUDQLHCIAOWPR-UHFFFAOYSA-N,No result,No result,170509,-,-,-,-,No result,https://doi.org/10.1111/acel.12439,Mitochondrial metabolites extend lifespan
α-ketoacids,increased,fibroblasts,,,Mice,RBJNNOANVBIZFR-ROHOOUGSSA-N,No result,No result,24901429,-,-,-,-,No result,https://doi.org/10.1111/acel.12439,Mitochondrial metabolites extend lifespan
pyruvate,increased,whole organism,,,C. elegans,LCTONWCANYUPML-UHFFFAOYSA-M,No result,No result,107735,Pyruvic acid,C3H4O3,88.016,Short-chain acids,No result,https://doi.org/10.1111/acel.12439,Mitochondrial metabolites extend lifespan
3M2OB,increased,whole organism,,,C. elegans,QHKABHOOEWYVLI-UHFFFAOYSA-M,No result,No result,5204641,-,-,-,-,No result,https://doi.org/10.1111/acel.12439,Mitochondrial metabolites extend lifespan
3M2OV,increased,whole organism,,,C. elegans,JVQYSWDUAOAHFM-UHFFFAOYSA-M,No result,No result,4298878,-,-,-,-,No result,https://doi.org/10.1111/acel.12439,Mitochondrial metabolites extend lifespan
4M2OV,increased,whole organism,,,C. elegans,BKAJNAXTPSGJCU-UHFFFAOYSA-N,C00233,No result,70,Ketoleucine,C6H10O3,130.063,Short-chain keto acids,HMDB0000695,https://doi.org/10.1111/acel.12439,Mitochondrial metabolites extend lifespan
gamma-glutamylisoleucine*,decreased,plasma,male,,Naked mole-rats,SNCKGJWJABDZHI-ZKWXMUAHSA-N,No result,No result,22885096,gamma-Glutamylisoleucine,C11H20N2O5,260.1372,Dipeptides,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 18260,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 16947_1,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
2-docosahexaenoyl-GPC (22:6)*,decreased,plasma,male,,Naked mole-rats,FPEVDFOXMCHLKL-KFDYCXSYSA-N,No result,LMGP01010913,24778955,-,,,,HMDB0008123,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 17383,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
N-acetyltyrosine,decreased,plasma,male,,Naked mole-rats,CAHKINHBCWCHCF-UHFFFAOYSA-N,No result,No result,89216,N-Acetyltyrosine,C11H13NO4,223.0845,Amino acids,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
methyl-beta-glucopyranoside,decreased,plasma,male,,Naked mole-rats,HOVAGTYPODGVJG-XUUWZHRGSA-N,No result,No result,445238,Methyl glucose,C7H14O6,194.079,Monosaccharides,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 16480,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
gamma-glutamylphenylalanine,decreased,plasma,male,,Naked mole-rats,XHHOHZPNYFQJKL-QWRGUYRKSA-N,No result,No result,111299,gamma-Glutamylphenylalanine,C14H18N2O5,294.1216,Dipeptides,HMDB0000594,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
palmitoyl sphingomyelin (d18:1/16:0),increased,plasma,male,,Naked mole-rats,RWKUXQNLWDTSLO-GWQJGLRPSA-N,No result,LMSP03010003,9939941,SM 18:1;O2/16:0,C39H79N2O6P,702.5676,SM,HMDB0061712,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
gamma-glutamylleucine,decreased,plasma,male,,Naked mole-rats,MYFMARDICOWMQP-YUMQZZPRSA-N,No result,No result,151023,gamma-Glutamylleucine,C11H20N2O5,260.1372,Dipeptides,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
gamma-glutamylvaline,decreased,plasma,male,,Naked mole-rats,AQAKHZVPOOGUCK-XPUUQOCRSA-N,No result,No result,7015683,gamma-Glutamylvaline,C10H18N2O5,246.1216,Dipeptides,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
glycodeoxycholate,increased,plasma,male,,Naked mole-rats,WVULKSPCQVQLCU-BUXLTGKBSA-N,C05464,LMST05030006,3035026,Glycodeoxycholic acid,C26H43NO5,449.3141,C24 bile acids,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
catechol sulfate,decreased,plasma,male,,Naked mole-rats,MZPWKJZDOCIALD-UHFFFAOYSA-N,No result,No result,3083879,Catechol sulfate,C6H6O5S,189.9936,Phenylsulfates,HMDB0059724,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
cysteine-glutathione disulfide,decreased,plasma,male,,Naked mole-rats,GNTARDAHCXNJEX-ATVXKPNKSA-N,No result,No result,3080690,Cysteine-glutathione disulfide,C13H22N4O8S2,426.0879,Peptides,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
N-acetyltryptophan,decreased,plasma,male,,Naked mole-rats,DZTHIGRZJZPRDV-UHFFFAOYSA-N,No result,No result,2002,N-Acetyl-tryptophan,C13H14N2O3,246.1004,Amino acids,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 11538,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
N-acetylmethionine,decreased,plasma,male,,Naked mole-rats,XUYPXLNMDZIRQH-LURJTMIESA-N,C02712,No result,448580,N-Acetylmethionine,C7H13NO3S,191.0616,Amino acids,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
octadecanedioate,increased,plasma,male,,Naked mole-rats,BNJOQKFENDDGSC-UHFFFAOYSA-N,No result,LMFA01170029,70095,Octadecanedioic acid,C18H34O4,314.2457,Dicarboxylic acids,HMDB0000782,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 10510,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 11441,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
gamma-glutamyltyrosine,decreased,plasma,male,,Naked mole-rats,VVLXCWVSSLFQDS-QWRGUYRKSA-N,No result,No result,94340,gamma-Glutamyltyrosine,C14H18N2O6,310.1165,Dipeptides,HMDB0011741,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 12236 - retired for 3-[3-(sulfooxy)phenyl]propanoic acid,decreased,plasma,male,,Naked mole-rats,IQWLPDPKVFZEOK-UHFFFAOYSA-N,No result,No result,187000,-,,,,HMDB0094710,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 12156,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 18259,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
glutathione_ oxidized (GSSG),decreased,plasma,male,,Naked mole-rats,YPZRWBKMTBYPTK-BJDJZHNGSA-N,C00127,No result,11215652,Oxidized glutathione,C20H32N6O12S2,612.152,Peptides,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
3-hydroxyhippurate,increased,plasma,male,,Naked mole-rats,XDOFWFNMYJRHEW-UHFFFAOYSA-N,No result,No result,450268,3-Hydroxyhippuric acid,C9H9NO4,195.0532,Hippuric acids,HMDB0006116,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 18256,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
1-arachidonoyl-GPE (20:4n6)*,decreased,plasma,male,,Naked mole-rats,ROPRRXYVXLDXQO-XSQXPFHXSA-N,No result,LMGP02050009,42607465,-,,,,HMDB0011517,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 13846,decreased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
4-hydroxyhippurate,increased,plasma,male,,Naked mole-rats,ZMHLUFWWWPBTIU-UHFFFAOYSA-N,No result,No result,151012,4-Hydroxyhippuric acid,C9H9NO4,195.0532,Hippuric acids,HMDB0013678,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 11442,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 12644 - retired for 1-docosahexaenoylglycerophosphoethanolamine,decreased,plasma,male,,Naked mole-rats,XEVRBOQZSXWGQO-PAUXXPOVSA-N,No result,LMGP02050013,52925132,-,,,,HMDB0011526,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
2-docosahexaenoyl-GPE (22:6)*,decreased,plasma,male,,Naked mole-rats,XYYHNDVKALDFHQ-OXHZBIAZSA-N,No result,LMGP02010094,86289497,-,,,,HMDB0009012,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
1-docosahexaenoyl-GPC (22:6)*,decreased,plasma,male,,Naked mole-rats,LSOWKZULVQWMLY-APPDJCNMSA-N,No result,LMGP01050056,10415542,-,,,,HMDB0010404,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 16947_2,increased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
1-linoleoylglycerol (18:2),decreased,plasma,male,,Naked mole-rats,WECGLUPZRHILCT-HZJYTTRNSA-N,No result,LMGL01010006,5283469,MG 18:2,C21H38O4,354.277,MAG,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
glycochenodeoxycholate,increased,plasma,male,,Naked mole-rats,GHCZAUBVMUEKKP-GYPHWSFCSA-N,C05466,LMST05030008,12544,Glycochenodeoxycholic acid,C26H43NO5,449.3141,C24 bile acids,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
campesterol,increased,plasma,male,,Naked mole-rats,SGNBVLSWZMBQTH-PODYLUTMSA-N,C01789,LMST01030097,173183,Campesterol,C28H48O,400.3705,Ergosterols,No result,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
X - 09789,decreased,plasma,male,,Naked mole-rats,,,,,-,,,,,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
ergothioneine,decreased,plasma,male,,Naked mole-rats,SSISHJJTAXXQAX-ZETCQYMHSA-N,No result,No result,5351619,Ergothioneine,C9H15N3O2S,229.0885,Amino acids,HMDB0003045,https://doi.org/10.1007/s11357-018-0014-2,"A window into extreme longevity; the circulating metabolomic signature of the naked mole-rat, a mammal that shows negligible senescence"
